week,game_id,away,home,home_ppg,away_ppg,home_yards_ppa,away_yards_ppa,home_ypg,away_ypg,home_tom,away_tom,home_oypg,away_oypg,home_rpf,away_rpr
6,83,Cincinnati,New Orleans,23.5,23,7.3,7.2,382.3,337.7,-1.2,0,342.8,339,164.08,154.34
6,84,New England,Cleveland,24.7,23.5,6.4,8.2,385,354.7,-0.5,0.2,361.3,337.8,166.9,159.64
6,85,Jacksonville,Indianapolis,17.2,23,7,6.9,349.8,357.8,-0.8,0,323.7,333.8,151.98,156.72
6,86,NY Jets,Green Bay,17.8,23.8,6.8,6.4,348.2,343,-0.7,0.2,299.2,313.2,146.5,148.84
6,87,Minnesota,Miami,21.8,23.2,8.2,6.7,366.2,339.8,-0.8,0.7,361.3,384.5,166.1,163.04
6,88,Baltimore,NY Giants,21.2,26.3,6.4,7.1,317.3,361.3,0.3,0.7,339.3,371.5,148.42,166.16
6,89,Tampa Bay,Pittsburgh,16.2,20.2,6.2,6.7,291.5,332,0.2,0.5,398,302.5,153.58,144.44
6,90,Carolina,LA Rams,17.3,17.2,7,6.3,309.8,260,-0.8,-0.3,301.3,356.8,139.52,139.34
6,91,Arizona,Seattle,24.3,19,7.9,5.8,356,346,0.3,0.3,410.8,337.3,174.08,152.12
6,92,Buffalo,Kansas City,29.8,29.3,7.5,8.1,382.3,440.8,-0.2,0.5,356.5,281.5,168.68,166.62
6,93,Dallas,Philadelphia,26.8,18.3,8.2,6.2,394.5,300.8,2,0.3,297.8,304.2,160.62,137.12
6,94,Denver,LA Chargers,23.5,15.2,6.7,7.3,374.8,329.3,0.3,0,349.8,290.3,163.08,141.56
7,95,New Orleans,Arizona,22.3,25,5.9,7.5,343.1,398.3,0.7,-1.4,351.9,327.6,155.4,164.9
7,96,Atlanta,Cincinnati,24.7,23.3,7.8,7.9,366.1,308.6,0,0.3,335.7,378.3,160.9,157.9
7,97,Tampa Bay,Carolina,17.7,17.7,6.5,6.6,271.9,330.6,-0.3,0.4,342.1,314.7,139.28,145.88
7,98,Cleveland,Baltimore,25.9,24,7.1,6.8,346,378,0.7,-0.6,327,342.4,154.12,162.36
7,99,Indianapolis,Tennessee,19.2,16.1,7.4,6.8,274.2,341.6,0.5,-1,365,329.3,146.58,150.8
7,100,Detroit,Dallas,19.1,24.3,6.5,7.5,305,395.2,0.9,-1,324.6,398.5,142.92,178.4
7,101,Green Bay,Washington,17.9,18.3,6.4,6.6,326.6,331.6,-0.7,-0.6,308.9,334,143.34,149.86
7,102,NY Giants,Jacksonville,22.1,21.4,6.9,6.4,371.3,334.3,-0.1,0.4,370.7,367.3,166.6,157.48
7,103,Houston,Las Vegas,27.2,17.7,7.2,6.5,367.2,310,-0.2,0.3,361.6,388.9,165.56,156.38
